handle,created_at,swap_count,num_trades,cached_sol,published_sol,sol_verdict,cached_evm,published_evm,evm_verdict,confirmed,wallet_source,evm_source,error
kiennguyen_nft,2025-10-25T07:38:53.321Z,419,273,5oLWTR6F2nRC1NyCCK9tWLPL4cQskTk8HWjTB8nqi2QH,CfXWLBFhhbGj5pEPWAuK95YE2wh1jhGByMSAegQRWC4C,differ,,0xe42ed977a0e27f6af202b4d56599207747afde2b,no-cached,2,,,
aki11a,2026-04-14T08:34:23.226Z,206,111,85o5GZhor1ygRCzGDNRcsRCJyiQ3daGTGYHNXvCTJ4J7,BACkihsqHK398tkhaiGnQQDGCwXgBmV7zmxHPtkLSyvJ,differ,0x3740315ddb76c09c873eddb71fcf3e2802991abe,0x81c5bda8971ca26de871a190f11c463c54c9a8c0,differ,2,,hodlers+amount+rpc,
change,2026-01-22T09:58:12.218Z,5767,836,J9WiAZKf8JnCkHFL8fLCCXdEgdoLjLRqU2EGsDjdqYga,5ECuREzbvnxfrmo9cnvrcfKLgMJ7zd2ZP1C3XbPKbHhd,differ,0x92bff72e6c943a1348aedf15d68e758e811dec64,0x4ac3da3e752932f3ec08cf98f778a055e039f3b8,differ,4,manual+fomo-sponsor,activity+rpc,
fmpumpguy,2026-08-14T01:39:29.310Z,500,373,,6FYwko4PVrbTuVaPyqcD8e6gquvx5yXnEBjvUMcfKv9b,no-cached,0xb0e9dcce59a1526c4277168a2505993d303f6060,0x334e99885a1013d2e3ec4d00e729396e635397ee,differ,0,fomo-blocks,legacy+rpc,
altcoinist,2026-04-27T17:31:56.379Z,6,25,,Cu5hFXWAXcTkkpUwavv3P7eFw22GQCHTV32SSv2o7WSH,no-cached,0xccdeb7744e778992bfbff798f239638b76448e75,0xc03c074f6165f8506d67856cbb8549c31143d95a,differ,,,legacy+rpc,
dumbcrayoneater,2025-11-10T00:15:45.484Z,922,543,5FGoPPj1nL8LCnfVnpTmreqQtqLuMXXAwuS1uahMrp8V,43nktK56Bfk3yJK9iqr3Kzyt9npgEB6sPYKAeoYMxeug,differ,0x8f62a08537cede87d511aca6436274ab4ca080a3,0xb48ae67b008443eaa5b5f20b7e9da4fb39f8e167,differ,2,fomo-blocks,legacy+rpc,
frankdegods,2025-09-03T23:25:33.441Z,6524,2921,498g1rVnFcnjBjpfw1xyqA1WvgQXUU8RWuELjxkjAayQ,A5SEXYJY4jTEi6sjMLfZs5KAP8SVFvLDPDV67GgSSZSk,differ,0x696d1265c8fc4f14797abebfae3c43ebfa9d8e28,0x542b6b4cbab54a6ae6aadccd32a24e8c8b75370c,differ,3,manual+fomo-sponsor,legacy+rpc,
sunnydog06,2026-04-29T05:47:56.181Z,3925,2656,,4yNRUKGF5qhRgTgZwLkBqQM1TKTasDF6p4K3tTo1DBZX,no-cached,0x540dfd404e7bd75dd955c9634ae38bc551487552,0x65bcc6b378cadfdb385b56a9431a56e0861d2679,differ,1,fomo-sponsor,legacy+rpc,
0xforgivable,2025-10-28T03:33:13.378Z,1876,594,,AGumjV4wVfGQ4CsHTCLiFLx4sVnvwtSXn1iH9EbrLg69,no-cached,0x0232b9afb9160fe479f25dade62fa60ef657bdc5,0x2b02ec2e0edb511ffca5ae77f8120546f3d9aa69,differ,1,fomo-sponsor,legacy+rpc,
yayayayayey,2025-10-29T11:06:31.343Z,3277,1205,CHmurt9dTTbbDj6uZELTENx2ZvKszLs6wd73iDmGHW35,BmLmdEBqCirozyrK29hRfqv5vHi1BJdFUdsGZR3oqMBi,differ,0x542414c3c691c9c15261d4bbee3327d56b94977f,0xed2bd39aad7939d101d31a2d72527fea22c2ecc3,differ,2,fomo-sponsor,legacy+rpc,
vein,2025-11-22T18:27:27.680Z,8430,1965,5uSNZfK1eLk9j6gR9jhYcfbHd4XtpgHnZP79fVMUcKQH,C3c418yRv5SiTMYNx8ZFUsFgvVbQeV4aQtLKpPNE7nFQ,differ,0xa2aeb0cadc27bdd6a6656390c2d05f6e7cbed497,0x7b31708bc2a69c26e97960ca0b440a1724a072d2,differ,2,fomo-sponsor,legacy+rpc,
quanterty,2025-04-14T21:15:45.838Z,303,235,8f39XhhZoRD8sYb6K5K9N7iSHXkL7BDmFFQNDF3TtsEr,Bj6u3bLyd7CciYev1SkBtDdsjz8p7knjNxByFAH8MyfY,differ,0x0121525f755c9e7bbc525bba6672716ab46ced57,0x7df47c2e16056cd7a9dfd83a3951b69a607e73b8,differ,2,balance+helius+fomo-sponsor,legacy+rpc,
lilcutie,2026-08-17T01:05:37.382Z,38,23,,64WdyjchT196zRJr4mFWVLpQ8KLqQQayMUV3Ye4G14kD,no-cached,0xf6deea8552986e878b75084a36a6fa319be73817,0x65592e11cedbfb6e06fc66fd405b92cac211794f,differ,,,legacy+rpc,
lateearly,2026-08-17T20:09:52.942Z,166,57,KgMMFzkWC6Kq1P1A4BWsGUnwSivaMpzV5LGP7Rdhhoe,DE9csjzDcDETjS7tp28xTHnog6djaxPpQPUpjwZiR382,differ,0xf1e4b7e322e9d0ed4eaf63ef150f8939ab489839,0x0f1c2fcaea1d8627ab75257f8686e0dfa56af578,differ,2,fomo-sponsor,legacy+rpc,
dxranteth,2025-11-14T02:00:09.420Z,478,211,,6Yz7TsuZFcwVh55UrpxgvBojMvuMc9UxuAHPduojAJf5,no-cached,0x5a036136290afa666f012ad6dc2ee48aef46998e,0x1f7d52f003021f56fe71011104bd171a92ffc4c5,differ,1,fomo-sponsor,legacy+rpc,
chieftom17,2026-07-29T10:48:11.531Z,12,5,,xFA3c7yEheKDfcuk5K7MotLcFV5A2yKQg87u3m8Xmrj,no-cached,0x79e2c27aaf07704932037e8abd50112e0c66742b,0x3c464c8dae4b66151cb587a55e5e9c003547fafe,differ,1,fomo-sponsor,transactions+rpc,
insentos,2026-01-12T22:58:08.682Z,955,334,33vFB2rtG9FDpJReNaJrBF4RZgri5HTVo5gSxP1XfVCr,HhmfcvHRXLzh7FCHdpc2zN9yVV6ZWGWM3XHYM1HDjHDK,differ,0x93c006f2051cb72168cf8c27cafe0fb2d71682c8,0xb41b607b67cbcc12be0dfa4faa7465a8ddf631bd,differ,2,balance+helius+fomo-sponsor,transactions+rpc,
poorgoat_,2025-11-11T13:50:41.428Z,1706,1162,,HXCYBexdXRrNTa3NHHJiKh5wsjb6zfW79MxQYGsszouu,no-cached,0x9ce0cb4a193acbce0dca3283972341aed6f3f614,0xee368a44d334ab499b25efabbc879548d7be4143,differ,1,balance+helius+fomo-sponsor,transactions+rpc,
rasmr,2025-04-22T00:23:40.131Z,1366,480,9CNyLECt2j8tnDhqxtjYk5HUhZ2b8Nwnyb7sfYN7vND2,6F7GEcDQQRBygxJy9KumtPTC58CRMq5ThT2iFibeRrPs,differ,0x2fbd041a069bb3d7099d55179169091cfeec4221,0xc4db4c15b7a4005bb0bfc9d78d5688c6bf3a695b,differ,2,balance+helius+fomo-sponsor,transactions+rpc,
unipcs,2026-05-18T12:45:58.832Z,159,348,,FJDy9FDRy6bwGEUKuAC98bUtN8MkpE2pT7Dj7HE3Z7Q1,no-cached,0x0a6ebed0155edb4b21d92ad02897a626cd90119e,0x2ac082e252143c89c6e3bcb972e49855f9f6711c,differ,1,fomo-sponsor,transactions+rpc,
cryptojuggler3,2025-10-16T14:16:54.211Z,5364,2317,,7AY1paSDAwdUjo2vQGz5mU6LQuy2ESYJ1s46qJrLkrZr,no-cached,0x2a8f874417159f163611455f78b7ec079c19f085,0xf405676b9c0ff60dab6b7c751a4eb55cfddf209a,differ,1,fomo-sponsor,hodlers+amount+rpc,
aurelius0121,2026-05-18T22:33:11.909Z,4295,947,9BMzTpSo4URse1oN666pmexhdjpU1vA5p7LtroCFQdLU,2cYqR4qG4ebyghAc3jc8PCALNh1bHL4hYewmmkr3Jawq,differ,0x0c175c6a0065ee05f871a68783d2de432a1e6cbe,0x134cea2c8b270819320b73169d27bbf62f4d3ce2,differ,2,fomo-sponsor,transactions+rpc,
napoleone,2026-07-30T15:38:20.589Z,422,184,8yFsyt2ALub9iFDjASJ8hqBFEfz2DsSCbSE5QeRzZhVP,GZtm9pFrQQhpGGfPNYMXMGBHdeCGksYnv1Cxnz8XKkaP,differ,0x4144f7caffdcdeeeb866eed72a4f1aa54db8a909,0x103bf089cf9a316ecf126f29c9f5b51383bd7cad,differ,2,fomo-sponsor,transactions+rpc,
binkieee,2026-01-20T01:36:54.658Z,3842,1319,6zMVSeukMUMKu5tDsECh4QMqrCRZqTbTvuawztFfwNti,5PVeHkHCodbNyF4M194zoWtMWbkCLKyNKWvG19ouMt3H,differ,0xd874259110c6e086f1d2fee474b73e69b8f5dab0,0x0137c178aa38535e8893a7583d8778f87bf0df29,differ,2,balance+helius+fomo-sponsor,transactions+rpc,
cryptokillua99,2025-11-12T05:04:09.026Z,338,152,98bTNSZo7eNyYASDkeywE3BuhoHXEueWScEKVkwBdG6H,AtiRxHZRECuQJefRfQUdP7abrwVAfYfgEifyJRKHyMZr,differ,0x3f6c9c7df12ae7497b2327b549d90f189217652c,0x9cfd729b83fc30edebbedb3c9b2fdecc52fe3413,differ,2,fomo-sponsor,transactions+rpc,
buyer,2026-08-03T00:43:59.092Z,604,173,HuGoSjqpWoyN4q3uS1ncEAEPcnZzXvexmgyxpeB9aycZ,6kmE1eAysmLdCGYEHaerbLBB8Kuf5G4morTGMfGEt3oE,differ,0x930730411c53d1849e08ccc4f9eb7b5616d8b172,0x2e7941816797e21ddc1b4228fac5d01cbd59011a,differ,2,balance+helius+fomo-sponsor,transactions+rpc,
wallstreetbets,2026-05-08T04:15:37.368Z,69,151,BqeeFXA8hvvpz2xn5hfnc6oki5oBLhwworLt5341RVXP,EJ7D3yjvTMdLs7dzcNDQfZCDY87QyvecDUqBphFYQDd4,differ,0xf4e3b87f641c0638fa122ea473ff35533d8888bf,0x679e8fd5f3056c9cd258290c1bf778126253e104,differ,2,fomo-sponsor,balance+rpc,
degencapitalllc,2026-04-16T07:47:37.891Z,2723,1101,,D14CPUBvncprFxofp8jq2dmavW9kpobLGvMHN6vbDhNT,no-cached,0x8a71697cc8a6e820c0bc12b29c1b329c3ab6599b,0xa078b49166591d3bffc403a178c36b5ada541090,differ,1,fomo-sponsor,transactions+rpc,
luitenantt,2026-05-12T22:02:50.630Z,8,7,,HUx1bFUtptnBMg5fyfqRGHJRP8XUr8Ze1eQrE43SrZqZ,no-cached,0xa7b7838e2dfc20f5fa5662192cd5fcdf8b55bc2a,0x114439edbd7d93f54385fbec0f3156fbbdc4e019,differ,1,fomo-sponsor,transactions+rpc,
ether_monk,2026-02-14T20:25:32.788Z,317,184,2xUbYAVq1oJGj45d6JjnaYHAke3NQecUcqWvvVbwmYw8,Gt6MM3JA2HeJRU7x6tp5yUBVZrTFeMscs6S5gg8BpRqd,differ,0x2408ce75d217e3a70d6ca370c78c1b34d706f5a0,0x659262bf822053f9ba5abca9d8f6a5954f9d6a7d,differ,2,balance+helius+fomo-sponsor,transactions+rpc,
